area,type,BHK,sqft,price,unit
Kuha,Independent House,3,2871,51,L
Kuha,Independent House,4,3708,60,L
Maninagar,Apartment,3,1300,72,L
Maninagar,Apartment,2,1050,58,L
Shela,Apartment,2,630,50.78,L
Shela,Apartment,3,789,63.57,L
Shela,Apartment,3,789,63.57,L
Shela,Apartment,3,1507,1.32,Cr
Shela,Apartment,4,1810,1.58,Cr
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,1,765,19.25,L
Vastral,Apartment,1,765,19.25,L
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,2,1080,26.75,L
Vastral,Apartment,1,765,19.25,L
Vastral,Apartment,1,765,19.25,L
Sanand,Apartment,3,1440,29.5,L
Sanand,Apartment,2,1170,23.5,L
Sanand,Apartment,2,1170,23.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Nikol,Apartment,2,1215,48,L
Nikol,Apartment,2,2830,48,L
Chandkheda,Apartment,2,1140,47.99,L
Chanakyapuri,Apartment,2,945,37.5,L
Odhav,Independent House,5,2700,1,Cr
Navrangpura,Apartment,3,2100,1.25,Cr
Naroda,Apartment,3,1460,45,L
Maninagar,Apartment,3,1250,70,L
Maninagar,Apartment,3,1250,75,L
Motera,Apartment,2,1225,39,L
Motera,Apartment,2,1204,43,L
Vastral,Apartment,2,1107,28.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Ghuma,Villa,4,2250,84,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1512,59.5,L
Ghuma,Villa,4,2250,84,L
Maninagar,Apartment,1,850,20,L
Maninagar,Apartment,1,850,22,L
Khodiyar,Apartment,3,1440,48,L
Bapunagar,Independent House,2,1200,45,L
Navrangpura,Apartment,3,2100,1.25,Cr
Motera,Apartment,2,1125,42,L
Thaltej,Apartment,3,1845,1.41,Cr
Motera,Villa,4,2700,2.1,Cr
Chandkheda,Apartment,2,1026,35,L
Bhat,Villa,4,3069,2.6,Cr
Chandkheda,Independent House,5,1800,1.65,Cr
Motera,Independent House,4,2610,1.85,Cr
Motera,Apartment,3,1845,65,L
Koteshwar,Apartment,3,1800,85,L
Motera,Apartment,3,1855,65,L
Chandkheda,Villa,4,2200,1.55,Cr
Motera,Villa,4,2000,1.7,Cr
Chandkheda,Villa,4,2000,1.65,Cr
Chandkheda,Villa,4,2000,1.5,Cr
Chandkheda,Villa,4,2500,1.85,Cr
Motera,Apartment,2,1080,58,L
Chandkheda,Villa,4,3015,2.25,Cr
Koteshwar,Apartment,3,2142,1,Cr
Motera,Apartment,3,1611,60,L
Motera,Apartment,3,2025,1.2,Cr
Motera,Villa,5,2157,1.7,Cr
Motera,Villa,5,2157,1.7,Cr
Navrangpura,Independent House,2,1890,2.55,Cr
Navrangpura,Independent House,6,4500,5,Cr
Navrangpura,Independent House,6,2790,4.34,Cr
Navrangpura,Independent House,5,4950,3.5,Cr
Navrangpura,Independent House,5,4050,2.71,Cr
Gulbai Tekra,Independent House,4,1800,4,Cr
Ambavadi,Independent House,4,2790,3.5,Cr
Navrangpura,Independent House,3,4500,5,Cr
Ambavadi,Independent House,3,1620,4.7,Cr
Ambavadi,Independent House,3,1190,3.5,Cr
Gota,Apartment,1,640,26.5,L
Nava Naroda,Villa,3,2100,75,L
Satellite,Apartment,3,2610,1.4,Cr
Jodhpur,Apartment,3,1575,1.2,Cr
Bodakdev,Independent House,4,3645,5,Cr
Jodhpur Village,Apartment,3,1575,1.05,Cr
Satellite,Apartment,3,2025,1,Cr
Jodhpur,Apartment,3,1890,1.3,Cr
Satellite,Apartment,3,1831,99,L
Jodhpur Village,Apartment,4,2475,1.5,Cr
Prahlad Nagar,Apartment,3,2050,1.5,Cr
Navrangpura,Apartment,3,1935,1.3,Cr
Navrangpura,Apartment,3,1800,1.21,Cr
Navrangpura,Apartment,3,1485,75,L
Navrangpura,Apartment,3,1250,82,L
Navrangpura,Apartment,3,1850,65,L
Ambavadi,Apartment,2,1950,60,L
Navrangpura,Apartment,3,1600,86,L
Navrangpura,Apartment,3,1950,1.55,Cr
Thaltej,Apartment,3,1845,1.4,Cr
Thaltej,Apartment,4,2650,2.25,Cr
Thaltej,Apartment,3,1845,1.44,Cr
Nikol,Apartment,1,765,19,L
Nava Naroda,Villa,4,2520,2.2,Cr
Nikol,Villa,3,1300,1.25,Cr
Naranpuraa,Apartment,3,1170,75,L
Naranpuraa,Independent House,3,1980,2,Cr
Naranpuraa,Independent House,3,1395,1.65,Cr
Naranpuraa,Independent House,3,1080,76.99,L
Naranpuraa,Apartment,2,1260,75,L
Nava Naroda,Villa,3,1400,85,L
Nikol,Villa,4,2750,1.65,Cr
Nava Naroda,Villa,4,2950,2.2,Cr
Nikol,Apartment,3,2160,75,L
Nikol,Apartment,3,1404,95,L
Nikol,Apartment,2,1233,30,L
Nikol,Villa,3,1400,1.6,Cr
Nikol,Villa,3,1350,1.25,Cr
Nikol,Villa,3,2300,1.6,Cr
Nikol,Villa,4,2250,1.7,Cr
Nikol,Villa,5,2350,1.35,Cr
Nikol,Villa,3,1260,1.11,Cr
Nikol,Villa,4,2925,2.3,Cr
Nikol,Villa,4,3200,4.25,Cr
Nikol,Villa,4,1850,90,L
Naranpuraa,Independent House,6,3150,2,Cr
Navrangpura,Independent House,5,2250,3.5,Cr
Naranpuraa,Independent House,5,4455,4.5,Cr
Naranpuraa,Independent House,5,2700,3.3,Cr
Naranpuraa,Independent House,6,3150,2,Cr
Navrangpura,Independent House,5,2250,3.5,Cr
Naranpuraa,Independent House,5,4455,4.5,Cr
Naranpuraa,Independent House,5,2700,3.3,Cr
Naranpuraa,Independent House,5,1530,2.49,Cr
Naranpuraa,Independent House,4,3825,4,Cr
Naranpuraa,Independent House,3,3005,3,Cr
Nikol,Apartment,6,6030,3,Cr
Nikol,Apartment,6,6030,3,Cr
Nava Naroda,Villa,5,9000,1.85,Cr
Nikol,Apartment,3,2250,85,L
Nikol,Apartment,4,3348,1.35,Cr
Nikol,Villa,4,2250,1.75,Cr
Nikol,Villa,3,2250,1.7,Cr
Nava Naroda,Villa,4,2200,1.9,Cr
Nikol,Apartment,2,1242,38,L
Nava Naroda,Villa,5,4050,3.6,Cr
Near Nirma University On SG Highway,Apartment,4,2211,98,L
Nikol,Apartment,3,1500,95,L
Nava Naroda,Villa,4,4400,3.6,Cr
Nikol,Apartment,2,1260,40,L
Nikol,Villa,3,1500,1.25,Cr
Chandkheda,Apartment,2,1305,47,L
Vastrapur,Apartment,2,945,52,L
Vastrapur,Apartment,3,1815,1.36,Cr
Vastrapur,Apartment,3,1885,1.4,Cr
Vastrapur,Apartment,4,2415,1.76,Cr
Lambha,Villa,3,1169,36.5,L
Nikol,Villa,4,3000,3.5,Cr
Sanand,Villa,4,3105,1.16,Cr
Sanand,Independent House,3,1854,54.5,L
Sanand,Villa,4,2286,69.99,L
Ghuma,Apartment,3,775,58,L
Ghuma,Apartment,2,712,54,L
Near Nirma University On SG Highway,Apartment,2,1100,42,L
Shilaj,Apartment,3,950,61.99,L
Near Nirma University On SG Highway,Apartment,2,635,48,L
Chandkheda,Apartment,3,1500,90,L
Motera,Apartment,3,1174,99.59,L
Motera,Apartment,4,2597,2.2,Cr
Motera,Apartment,4,1959,1.66,Cr
Motera,Apartment,4,2592,2.19,Cr
Motera,Apartment,4,1952,1.65,Cr
Motera,Apartment,4,1578,1.33,Cr
Motera,Apartment,4,1576,1.33,Cr
Motera,Apartment,3,1167,98.99,L
Motera,Apartment,3,1170,99.25,L
Bhat,Apartment,3,1191,92.4,L
Bhat,Apartment,4,1796,1.47,Cr
Sanand,Villa,4,3069,1.09,Cr
Sanand,Villa,4,3519,1.41,Cr
Shela,Apartment,2,950,42,L
Chandkheda,Apartment,2,1440,47,L
Gota,Apartment,3,1629,75,L
Bhadaj,Apartment,3,1530,61.9,L
Shela,Apartment,2,1085,39.5,L
Narolgam,Apartment,3,1395,80,L
Vejalpur,Apartment,1,525,25,L
Jodhpur,Apartment,3,1650,95,L
Jodhpur,Villa,4,2000,2.6,Cr
Jodhpur,Apartment,2,1125,65,L
Jodhpur,Apartment,3,1650,85,L
Prahlad Nagar,Apartment,2,1150,60,L
Juhapura,Apartment,2,1080,25,L
Satellite,Villa,4,2250,3.25,Cr
Near Nirma University On SG Highway,Apartment,3,1908,1.15,Cr
Science City,Apartment,2,1305,87,L
Sola,Apartment,2,1314,72.09,L
Gota,Apartment,3,1710,68,L
Science City,Apartment,2,1413,90,L
Near Nirma University On SG Highway,Apartment,3,1602,75,L
Kasindra,Villa,4,5462,77.83,L
Kasindra,Villa,5,6894,1.04,Cr
Kasindra,Villa,3,4894,69.73,L
Vastrapur,Apartment,3,1665,1.2,Cr
Khodiyar,Apartment,2,1110,59,L
Gota,Apartment,3,1440,70,L
Bodakdev,Apartment,3,1440,60,L
Satellite,Apartment,2,1080,50,L
Bopal,Apartment,3,1473,64.51,L
Bopal,Apartment,3,1473,64.51,L
Bopal,Apartment,3,1481,64.86,L
Bopal,Apartment,3,1481,64.86,L
Shela,Apartment,3,1435,68,L
Bopal,Apartment,2,1215,53.51,L
Bodakdev,Apartment,3,1341,90,L
Shela,Independent House,4,2340,2.35,Cr
Thaltej,Independent House,4,3600,4.9,Cr
Shilaj,Independent House,4,2745,2.85,Cr
Shilaj,Independent House,4,5400,5.11,Cr
Thaltej,Independent House,4,1800,2.5,Cr
Ambli,Apartment,4,3800,3.5,Cr
Thaltej,Independent House,4,2700,2.5,Cr
Ambli,Independent House,5,7722,4,Cr
Bopal,Independent House,5,6750,3.75,Cr
Thaltej,Independent House,3,4250,3.5,Cr
Bodakdev,Apartment,4,3272,2.02,Cr
Thaltej,Apartment,3,2205,1.55,Cr
Thaltej,Villa,4,3825,4.5,Cr
Thaltej,Apartment,4,2514,1.7,Cr
Thaltej,Apartment,4,2799,2.25,Cr
Bodakdev,Apartment,4,3967,3.17,Cr
Satellite,Apartment,4,3080,3.51,Cr
Satellite,Apartment,4,3080,3.51,Cr
Vastrapur,Apartment,3,1845,1.2,Cr
Thaltej,Apartment,3,1655,1.05,Cr
Near Nirma University On SG Highway,Apartment,3,1850,75,L
Near Nirma University On SG Highway,Apartment,3,1980,85,L
Thaltej,Villa,4,3015,2.5,Cr
Thaltej,Apartment,3,1730,87,L
Near Vaishno Devi Circle On SG Highway,Apartment,3,1850,82,L
Shela,Apartment,3,2041,72,L
Shela,Apartment,3,2598,1.14,Cr
Shela,Apartment,4,3538,1.66,Cr
Shilaj,Apartment,4,4275,2.5,Cr
Thaltej,Apartment,3,1845,1.45,Cr
Thaltej,Apartment,3,1845,1.45,Cr
Thaltej,Apartment,4,2410,2,Cr
Thaltej,Apartment,4,2666,2.4,Cr
Vastrapur,Apartment,4,3330,2.8,Cr
Bodakdev,Apartment,4,2475,1.85,Cr
Bodakdev,Apartment,4,2700,2,Cr
Bopal,Apartment,4,2775,1.7,Cr
Shilaj,Apartment,3,2547,1.77,Cr
Bopal,Apartment,3,1545,95,L
Bopal,Apartment,3,1692,83,L
Thaltej,Apartment,3,1882,1.35,Cr
Bopal,Apartment,3,2025,89,L
Bopal,Apartment,3,1100,89.7,L
Bopal,Apartment,3,2115,1.05,Cr
